TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Golden State Warriors,2012-13,82,47,35,3961,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2
Detroit Pistons,2012-13,82,29,53,3961,102.7,107.2,-4.5,58.5,1.4,16.6,32.4,69.5,50.6,16.4,48.7,52.1,91.68,46.7
New Orleans Hornets,2012-13,82,27,55,3956,104.5,108.9,-4.4,58.2,1.44,16.7,33.2,70.5,51.4,16.2,48.9,52.8,89.5,46.4
Memphis Grizzlies,2012-13,82,56,26,3961,103.6,99.1,4.5,57.9,1.5,16.5,34.4,70.2,52,15.5,47.2,51.4,89.56,53.1
Indiana Pacers,2012-13,81,49,32,3918,103.4,99,4.4,57.8,1.34,16,33.6,70.1,52.2,16.5,47.9,52.1,90.9,53.7
Brooklyn Nets,2012-13,82,49,33,3971,106.9,104.8,2,56.7,1.38,16.1,34.3,70.1,52,16.2,49.8,53.6,89.88,50.9
Cleveland Cavaliers,2012-13,82,24,58,3946,103.2,108.2,-5,56.6,1.47,15.9,32.6,69.5,50,15,47.3,51.4,93.25,45
Charlotte Bobcats,2012-13,82,21,61,3961,100.4,110.3,-9.9,56.2,1.38,15.3,30.5,67.9,48.6,15.1,46,50.7,92.49,43.8
Oklahoma City Thunder,2012-13,82,60,22,3966,111,101.2,9.9,56.1,1.4,16.6,29.1,70.2,51.3,16,52.7,58,94.58,57
Sacramento Kings,2012-13,82,28,54,3966,105.3,110,-4.7,55.3,1.42,16,30.6,67.3,48.5,15.4,49.1,53.2,94.65,45.4
New York Knicks,2012-13,82,54,28,3946,109.8,105.4,4.5,52.7,1.6,15.6,29.1,70.8,49.4,13.2,51.5,55,90.68,51.2
Atlanta Hawks,2013-14,82,38,44,3966,104.9,105.7,-0.7,66.7,1.63,18.8,25.6,71.1,48.5,15.9,51.5,55.4,95.41,50.2
Chicago Bulls,2013-14,82,48,34,3986,101.7,99.9,1.9,65.4,1.52,17.6,32.1,71.3,51.8,16.2,47.1,51.8,90.84,52.8
Los Angeles Lakers,2013-14,82,27,55,3941,103.2,109.3,-6,63.9,1.62,18.1,23.5,67.6,45.9,15.2,50.5,54.2,99.72,46
Los Angeles Clippers,2013-14,82,57,25,3951,111.3,104,7.3,62.8,1.77,18.3,28.8,69,49.6,14.3,52.6,56.7,96.66,54.8
San Antonio Spurs,2013-14,82,62,20,3951,109.5,101.4,8.1,62.1,1.75,19,26.1,72.5,50.3,15,53.7,57.1,95.87,55.5
Minnesota Timberwolves,2013-14,82,40,42,3971,107.7,105.2,2.6,61.6,1.72,17.3,31.7,71.5,50.8,14,48.6,53.5,98.33,51.9
Washington Wizards,2013-14,82,44,38,4011,104.9,103.6,1.3,60.1,1.59,17.6,28.6,71.9,49.8,15.3,50.6,53.8,94.18,50.4
Charlotte Bobcats,2013-14,82,43,39,3981,103,103.3,-0.4,59.7,1.76,16.9,26.9,73,50,13.1,48.1,52.2,92.93,50.8
Milwaukee Bucks,2013-14,82,15,67,3976,101.9,110.2,-8.3,59.6,1.42,16.5,31,67.8,49,16.1,47.9,51.9,92.96,44.9
Dallas Mavericks,2013-14,82,49,33,3966,109.5,107.2,2.3,59.6,1.74,18,27.6,69.4,48.7,14.1,52.6,56.4,94.94,52.1
Portland Trail Blazers,2013-14,82,54,28,3971,110.4,106.2,4.2,59.4,1.69,17.2,32,71.3,51.7,14.2,50.4,54.8,95.9,52.4
Golden State Warriors,2013-14,82,51,31,3966,106.3,101.4,4.9,59.1,1.53,17.4,28.4,72.4,50.8,15.5,51.7,55,97.37,52.8
Miami Heat,2013-14,82,54,28,3976,110,105,5.1,58.8,1.52,18.1,24.4,68.6,47.6,15.9,55.4,59,91.9,53.9
Brooklyn Nets,2013-14,82,44,38,3976,105.4,106.7,-1.3,58.5,1.44,16.7,26,68.6,47.5,15.5,51.4,55.5,92.42,49.2
Denver Nuggets,2013-14,82,36,46,3951,105.1,107.3,-2.2,58.4,1.41,16.4,31,70.3,50.5,16,49.7,53.6,98.95,48.1
Toronto Raptors,2013-14,82,48,34,3991,107.9,104.6,3.3,58.1,1.5,16.4,31.2,70.1,50.5,15.1,49.8,54.5,92.48,51.2
Philadelphia 76ers,2013-14,82,19,63,3971,99,109,-10,57.6,1.29,16,29,68.4,47.9,16.8,47.5,51,99.74,42.6
Boston Celtics,2013-14,82,25,57,3946,101.9,106.5,-4.6,57.6,1.37,16.2,31.4,70.8,50.5,16.3,47.7,51.7,94.28,46.1
Memphis Grizzlies,2013-14,82,50,32,3961,105.5,103.8,1.7,57.4,1.59,17.1,32.6,71.8,52.1,15,49.4,52.9,90.58,51.8
Cleveland Cavaliers,2013-14,82,33,49,3986,103.5,107,-3.6,57.2,1.49,16.2,31.4,71.1,50.8,14.9,47.9,51.8,93.69,46.9
Orlando Magic,2013-14,82,23,59,3991,101,106.6,-5.7,57.1,1.41,16.4,26.7,71.4,49,15.6,48.7,52.5,94.27,46.6
Utah Jazz,2013-14,82,25,57,3956,102.4,110.1,-7.6,56.4,1.39,16.1,29.7,70.8,49.7,15.8,48.4,52.3,92.32,45.1
Houston Rockets,2013-14,82,54,28,3966,109.8,105.2,4.6,56.3,1.33,16.1,30.6,70,51.3,16.5,53.1,57.1,97.27,53.4
New Orleans Pelicans,2013-14,82,34,48,3971,106.2,109.1,-3,56.3,1.55,16.5,30.5,69.4,49.7,14.7,49.5,53.7,93.07,48.3
Oklahoma City Thunder,2013-14,82,59,23,3961,109.4,103,6.4,56.2,1.43,16.6,29.4,72.2,51.8,15.8,52,56.6,96.33,54.3
Indiana Pacers,2013-14,82,56,26,3956,103.6,98.9,4.7,56,1.33,15.9,29.6,72.1,51.7,16.2,49,53.5,92.89,54.5
New York Knicks,2013-14,82,37,45,3971,107,108.1,-1.1,54.2,1.54,16,29.1,70.5,49.2,14.1,50.5,54.1,91.24,49
Detroit Pistons,2013-14,82,29,53,3956,105.2,109,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4
Sacramento Kings,2013-14,82,28,54,3966,105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3
Phoenix Suns,2013-14,82,48,34,3951,108.2,105.6,2.6,49.3,1.24,14.7,29.8,69.9,50,15.8,51.9,55.8,96.83,50.9
Golden State Warriors,2016-17,82,67,15,3956,114.8,103.4,11.4,70.5,2.06,21.2,27.2,70.9,50.4,14.6,56.3,59.7,100.37,57.9
Boston Celtics,2016-17,82,53,29,3951,110.6,108,2.6,65.3,1.9,18.8,25.9,70.5,48.5,13.6,52.5,56.7,97.21,51.4
Philadelphia 76ers,2016-17,82,28,54,3966,102.7,108.2,-5.5,63.1,1.43,17.4,27.3,70.9,49,16.7,50.1,53.9,99.07,47
Houston Rockets,2016-17,82,55,27,3956,114.1,108.4,5.7,62.6,1.67,18.1,28.1,71.7,49.9,15,54.5,58.3,100.55,51.6
Milwaukee Bucks,2016-17,82,42,40,3956,108.5,108.7,-0.2,62.4,1.73,18.5,26,70.6,48.7,14.6,52.7,56.5,94.99,50.4
Atlanta Hawks,2016-17,82,43,39,3976,104.5,105.2,-0.7,62.1,1.5,17.4,28.2,71.7,50.2,16,50.4,54.1,97.76,50.6
Denver Nuggets,2016-17,82,40,42,3951,112.2,111.7,0.4,61.5,1.69,18.2,31.4,75.3,53.2,15,53,56.8,99.18,50.3
Charlotte Hornets,2016-17,82,36,46,3966,108.4,108.4,0,61.1,2.01,17.6,24.7,74.9,49.6,11.9,50.1,54.7,95.92,50.5
San Antonio Spurs,2016-17,82,61,21,3961,110.3,102.9,7.4,60.6,1.77,18.1,28.2,73,51.1,14.1,52.4,56.4,94.86,55.1
Minnesota Timberwolves,2016-17,82,31,51,3961,110,110.9,-0.9,60,1.69,17.7,30.9,71,50.7,14.6,51.1,55.5,95.48,50.1
Sacramento Kings,2016-17,82,32,50,3976,106.6,110.8,-4.2,59.4,1.54,17.3,25.8,72.3,49.2,15.2,51.6,55.6,95.42,47.8
Memphis Grizzlies,2016-17,82,43,39,3981,107,106.5,0.5,58.4,1.65,16.5,29.5,73.1,50.7,13.7,49.1,53.5,92.84,50.1
Chicago Bulls,2016-17,82,41,41,3956,106.5,106.2,0.3,58.4,1.66,16.8,31.1,73.3,51.9,14,48.7,53,96.02,50.4
New Orleans Pelicans,2016-17,82,34,48,3981,104.7,106.8,-2.1,58.2,1.77,17.1,22.8,72.8,48,12.9,50.4,53.9,98.56,49.3
Orlando Magic,2016-17,82,29,53,3961,103.7,110.3,-6.5,58,1.67,16.8,26.7,72.6,49.1,13.7,48.9,52.4,96.9,46
Washington Wizards,2016-17,82,49,33,3971,110.4,108.8,1.7,57.7,1.68,17.6,28.6,71.6,50.1,14.3,52.8,56.4,97.94,51.1
Dallas Mavericks,2016-17,82,33,49,3956,104.7,107.7,-3,57.4,1.75,16.8,21.6,73.3,46.5,12.7,50.5,54.1,93.11,47.9
Indiana Pacers,2016-17,82,42,40,3971,107.9,108.1,-0.2,57.2,1.63,17.2,25.5,71.3,48.8,14.1,51.6,55.8,96.59,50.5
LA Clippers,2016-17,82,51,31,3951,111.8,107.5,4.4,57,1.74,17.2,25.6,73.3,50.1,13.3,53.7,57.4,96.77,52.7
Cleveland Cavaliers,2016-17,82,51,31,3976,112.8,109.7,3.1,56.7,1.66,17.1,26.4,72.2,49.9,14,54.7,58,96.74,51
Brooklyn Nets,2016-17,82,20,62,3951,103.6,110.1,-6.5,56.6,1.29,15.9,24.1,71.6,48.3,16.2,50.7,55.1,101.75,46
New York Knicks,2016-17,82,31,51,3971,107.1,110.7,-3.6,55.1,1.57,16.3,30.5,69.8,50,14.3,49.6,53.4,96.63,48.2
Utah Jazz,2016-17,82,51,31,3951,109,104.7,4.3,54.4,1.48,16.2,27,74.3,51.4,14.8,52.6,56.3,92.09,53.4
Miami Heat,2016-17,82,41,41,3956,107.4,106.4,1,54.4,1.58,16.3,28.4,71.8,49.9,14,51.2,54.1,95.51,50
Portland Trail Blazers,2016-17,82,41,41,3986,109.4,110,-0.6,53.4,1.54,16,26.9,72,49.6,13.9,52,55.9,97.38,49.3
Los Angeles Lakers,2016-17,82,26,56,3941,105.3,112,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,99.26,44.6
Oklahoma City Thunder,2016-17,82,47,35,3961,107.9,107.1,0.8,53.2,1.4,15.5,32.3,74.2,52.8,15.2,50,54,98.18,49.9
Detroit Pistons,2016-17,82,37,45,3961,105.3,106.7,-1.4,53,1.78,16.1,28.6,77.5,51.9,12.3,49.2,52.1,95.52,48.2
Phoenix Suns,2016-17,82,24,58,3966,106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,100.85,46.2
Toronto Raptors,2016-17,82,51,31,3956,111.4,107.1,4.3,47.2,1.46,14.5,29.1,71.7,50.5,13.2,51.7,56.1,95.41,51.6
Golden State Warriors,2017-18,82,58,24,3946,112.8,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.35,55.4
Philadelphia 76ers,2017-18,82,52,30,3956,108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.75,54.2
Washington Wizards,2017-18,82,43,39,3971,108.1,107.7,0.4,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56,97.67,50.9
New Orleans Pelicans,2017-18,82,48,34,3991,108.5,107.4,1.1,62.7,1.79,19,24,72.6,49.4,14.5,54.1,57.3,101.48,52.5
Atlanta Hawks,2017-18,82,24,58,3941,104.4,110.1,-5.7,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.76,46.8
Brooklyn Nets,2017-18,82,28,54,3971,106.1,109.7,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.66,47.4
Denver Nuggets,2017-18,82,46,36,3976,111.4,110,1.4,61.7,1.68,18.2,30,73.6,51.7,15.1,53.6,57,97.69,51.1
Chicago Bulls,2017-18,82,27,55,3971,103.4,110.5,-7,60.7,1.68,17.3,25.6,76.7,50,14.1,49.7,52.9,98.65,45.3
Orlando Magic,2017-18,82,25,57,3946,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2
Dallas Mavericks,2017-18,82,24,58,3961,105.4,108.4,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.7,51.3,54.4,96.53,47.5
Toronto Raptors,2017-18,82,59,23,3966,113,105.3,7.7,59,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.02,53.8
Memphis Grizzlies,2017-18,82,22,60,3941,103.6,110.4,-6.8,58.6,1.44,16.6,27.6,72.1,49.3,15.6,50,53.9,95.65,46
Boston Celtics,2017-18,82,55,27,3961,106.8,103.2,3.6,58.6,1.6,17,26.3,73.9,50.4,14.4,51.8,55.2,96.75,51.9
Utah Jazz,2017-18,82,48,34,3951,107.4,103,4.4,58.6,1.53,17.1,25.6,75.6,50.9,15.2,52.7,56.4,96.58,53.2
Milwaukee Bucks,2017-18,82,44,38,3966,109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2
Miami Heat,2017-18,82,44,38,3986,106.2,105.8,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.8,52,55.1,96.1,50.5
Los Angeles Lakers,2017-18,82,35,47,3981,106,107.3,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1
San Antonio Spurs,2017-18,82,47,35,3946,107.1,104.1,3,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.7,52.5
Detroit Pistons,2017-18,82,39,43,3961,106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74,49.9,13.8,51.2,54.3,96.75,48.9
Cleveland Cavaliers,2017-18,82,50,32,3946,112,111.1,1,57.9,1.7,17.5,24.3,73,49.2,13.9,54.7,58.4,98.72,50.2
New York Knicks,2017-18,82,29,53,3966,106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1
Houston Rockets,2017-18,82,65,17,3951,114.1,105.7,8.4,55.7,1.56,16.4,25.4,75,50.3,14.1,55.1,59,98.02,53.1
Sacramento Kings,2017-18,82,27,55,3951,103.1,110.4,-7.3,55.6,1.57,16.6,26.4,73.1,48.9,14.3,50.2,52.9,95.5,45.1
LA Clippers,2017-18,82,42,40,3941,109.4,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.54,49.7
Charlotte Hornets,2017-18,82,36,46,3956,109,109,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50
Minnesota Timberwolves,2017-18,82,47,35,3961,112.5,110.2,2.3,55.3,1.82,17,28.9,72,50.3,12.8,52.3,56.6,96.75,51.8
Phoenix Suns,2017-18,82,21,61,3941,102.8,111.7,-9,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.14,44.2
Indiana Pacers,2017-18,82,48,34,3951,108.5,107.3,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.84,50.9
Oklahoma City Thunder,2017-18,82,48,34,3966,110.1,106.4,3.7,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.34,50.8
Portland Trail Blazers,2017-18,82,49,33,3951,108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51
Golden State Warriors,2018-19,82,57,25,3961,115,108.6,6.5,66.8,2.06,20.4,25.7,72.7,50.5,13.9,56.5,59.6,101.73,54.6
Denver Nuggets,2018-19,82,54,28,3946,112.1,108.1,4,65.3,2.04,19.3,30.8,74.4,52.4,13.6,52.7,55.8,98.49,52.4
Philadelphia 76ers,2018-19,82,51,31,3961,111.6,109,2.6,64.8,1.8,18.7,27.8,74.1,51.7,14.4,53.2,57.4,102.59,52.9
Utah Jazz,2018-19,82,50,32,3951,110.3,105.3,5,64.4,1.72,18.5,27.5,75.9,52.2,14.9,53.8,57.2,100.84,53.9
Orlando Magic,2018-19,82,42,40,3956,108.2,107.6,0.6,63.2,1.94,18.6,25.9,75.4,50.4,13.3,51.8,55,98.65,50.8
Memphis Grizzlies,2018-19,82,33,49,3976,105.6,108,-2.4,63.1,1.71,17.9,24.7,72.4,48.4,14.3,50.8,54.8,97.15,49
Indiana Pacers,2018-19,82,48,34,3941,109.4,106,3.4,62.8,1.9,18.9,26.9,72.2,49.9,13.9,53,56.1,98.64,52.7
Boston Celtics,2018-19,82,49,33,3956,111.3,107,4.3,62.4,2.05,18.8,25.7,72.8,49.5,12.7,53.4,56.7,100.43,53
Atlanta Hawks,2018-19,82,29,53,3971,107.5,113.1,-5.5,62.4,1.52,17.7,28.4,71.8,49.6,16.2,52.2,55.5,104.56,46.4
Washington Wizards,2018-19,82,32,50,3986,110.2,112.9,-2.7,62.3,1.87,18.4,25.2,70.6,47.7,13.6,53.1,56.7,102.24,48.7
New Orleans Pelicans,2018-19,82,33,49,3951,110.7,112,-1.3,61.9,1.82,18.6,28.5,72.9,50.9,14.2,52.9,56.3,103.89,49.8
Miami Heat,2018-19,82,39,43,3946,106.7,107.1,-0.4,61.2,1.65,17.6,29.1,73.1,50.9,14.9,51.5,54.2,98.74,50.1
Dallas Mavericks,2018-19,82,33,49,3956,108.7,110.1,-1.5,60.3,1.64,17,27.3,73.4,50.3,14.2,51.9,55.5,99.6,49.2
Toronto Raptors,2018-19,82,58,24,3976,112.6,106.8,5.8,60.3,1.81,18.2,26.5,72.6,50.2,13.8,54.3,57.9,100.52,53.3
Milwaukee Bucks,2018-19,82,60,22,3956,113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3
Los Angeles Lakers,2018-19,82,37,45,3956,107.4,108.9,-1.6,60,1.63,17.8,27,72.5,50.2,15,52.7,55.4,103.6,49.5
Phoenix Suns,2018-19,82,19,63,3976,105.3,114.2,-8.9,59.5,1.53,17.3,24.7,68.3,46.4,15.3,51.4,55.2,101.15,45
Brooklyn Nets,2018-19,82,42,40,3996,108.9,109,-0.1,59.2,1.58,16.9,28.2,72,50.1,14.6,52,55.6,101.51,49.2
Minnesota Timberwolves,2018-19,82,36,46,3966,110.6,112.2,-1.6,59.1,1.88,17.4,29.2,70.9,49.7,12.9,51.1,55.2,100.88,49.8
Sacramento Kings,2018-19,82,39,43,3946,109.6,110.8,-1.2,58.8,1.9,17.7,26.8,71.3,48.7,12.8,52.4,55.4,103.88,49.5
LA Clippers,2018-19,82,48,34,3966,111.4,110.4,1,58.2,1.65,17.1,26.3,72.2,50,14.1,52.9,57.5,102.66,50.5
San Antonio Spurs,2018-19,82,48,34,3961,112.2,110.5,1.6,58,2.03,18.1,24.6,74.4,50.1,12.2,53.4,57.2,98.89,51.6
Detroit Pistons,2018-19,82,41,41,3971,108.4,108.7,-0.3,57.9,1.63,16.5,29.1,74.5,50.9,14,50.9,54.4,97.88,48.2
Charlotte Hornets,2018-19,82,39,43,3966,110.7,112,-1.3,57.8,1.9,17,26.8,73.1,49.5,12.2,51.4,55.4,99.18,48.6
Chicago Bulls,2018-19,82,22,60,3981,104.5,112.8,-8.3,55,1.55,16.3,24.2,72.7,48.3,14.1,50.5,54.1,99.3,45.3
Oklahoma City Thunder,2018-19,82,49,33,3971,109.8,106.5,3.4,54.8,1.67,16.3,29.8,73.8,50.9,13.4,51.4,54.5,103.38,50.6
Portland Trail Blazers,2018-19,82,53,29,3971,113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1
Houston Rockets,2018-19,82,53,29,3966,114.9,110.1,4.8,54.1,1.59,15.9,26.9,70,48.1,13.5,54.2,58.1,98.39,49.8
Cleveland Cavaliers,2018-19,82,19,63,3951,106.8,116.8,-10,53.2,1.54,15.6,28.2,73.2,49.6,13.8,50.3,54,97.38,43.6
New York Knicks,2018-19,82,17,65,3956,104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2
Charlotte Hornets,1999-00,82,49,33,3956,102.5,99.7,2.8,68.9,1.68,18.4,28.3,71.2,50.1,15.3,47.5,53,95.58,54.1
Utah Jazz,1999-00,82,55,27,3951,105.7,101.1,4.6,68.9,1.67,19.1,32.9,69.8,51.6,16.3,49,54,90.84,55.1
Minnesota Timberwolves,1999-00,82,50,32,3981,104.2,101.7,2.5,68.4,1.94,19.8,31.8,69.6,50.7,14.7,48.5,52.5,93.37,53.1
Phoenix Suns,1999-00,82,53,29,3961,102.7,97.3,5.4,67.8,1.53,18.8,31.6,67.6,50,17.3,49.1,53.2,95.67,54.2
Toronto Raptors,1999-00,82,45,37,3951,102.7,102.8,-0.1,65.3,1.71,17.7,32.4,68.6,49.9,14.7,46.4,51.1,94.3,50
Cleveland Cavaliers,1999-00,82,32,50,3971,98.7,102.2,-3.5,65.2,1.36,17.3,30.8,68.5,49.6,17.7,46.8,51.6,97.36,47.5
Miami Heat,1999-00,82,52,30,3966,102.5,99.4,3.1,64.9,1.57,18.3,30.4,69.6,50.8,16.3,49.5,53.3,91.22,54.3
Chicago Bulls,1999-00,82,17,65,3961,92.8,102.8,-10,63.8,1.05,15.8,33.1,67.6,49.9,20.8,44.3,49,90.93,41.7
Portland Trail Blazers,1999-00,82,59,23,3956,106.5,99.5,6.9,63.7,1.55,18.2,33.5,69.3,52.3,16.6,50.1,54.6,91.03,55.9
Denver Nuggets,1999-00,82,35,47,3971,102.2,104.5,-2.3,62.5,1.49,17.2,32.1,68.8,50.4,16.1,47.6,51.7,95.95,48.3
Golden State Warriors,1999-00,82,19,63,3951,98,106.5,-8.4,61.8,1.42,16.3,34.6,67.3,49.9,16.3,44.4,48.4,97.11,43.1
San Antonio Spurs,1999-00,82,53,29,3971,103.5,97.1,6.4,61.6,1.48,17.3,30.1,70.3,51.2,16.2,48.8,53.5,92.11,55.6
Los Angeles Lakers,1999-00,82,67,15,3961,105.4,96.4,9,61.2,1.68,17.4,32.4,70.5,51.8,14.6,48.4,52.5,95.04,57.3
Indiana Pacers,1999-00,82,56,26,3946,106.8,101.7,5.1,60.9,1.6,17.5,27.6,69.1,49.2,14.9,50.3,55.2,94.7,53.4
Philadelphia 76ers,1999-00,82,49,33,3966,99.9,98.3,1.5,60.7,1.42,16.6,33.5,68,50.4,16.5,45.7,50.1,94.25,50.8
Seattle SuperSonics,1999-00,82,45,37,3956,104,103.1,1,60.4,1.63,17.2,31.2,67.3,49.1,14.8,48.7,52,94.74,49.6
Sacramento Kings,1999-00,82,44,38,3961,103.6,100.7,2.9,59.6,1.47,17,30.8,67.9,49.3,16,48.6,52.6,100.66,51.3
Houston Rockets,1999-00,82,34,48,3966,103.3,104.2,-0.8,59.1,1.24,16.3,32.1,69.1,50.8,18.1,49.4,53.6,95.54,49
Washington Wizards,1999-00,82,29,53,3961,101.8,105.2,-3.4,58.8,1.34,16.4,32.9,68.6,50.6,17,47.6,52.1,94.33,47.1
Vancouver Grizzlies,1999-00,82,22,60,3971,100.7,106.7,-6,58.8,1.23,16.2,32.6,67.9,50.1,18.1,47.4,52.4,92.46,45.7
Milwaukee Bucks,1999-00,82,42,40,3971,106.5,106.2,0.3,58.3,1.51,17.1,32.7,66.7,49.7,15.8,49.4,53.9,94.27,49.8
Boston Celtics,1999-00,82,35,47,3946,102.9,103.9,-1.1,57,1.38,15.9,32.7,70.5,50.6,15.9,47.4,52,96.19,47.6
New Jersey Nets,1999-00,82,31,51,3966,102.8,103.9,-1.1,56.7,1.51,15.8,29.8,65.7,47.2,14.3,46.8,51.7,94.63,47.9
Dallas Mavericks,1999-00,82,40,42,3946,104.7,105.2,-0.5,56.7,1.61,16.7,28.1,64.7,46.6,14.2,49,53.2,96.64,49.3
Detroit Pistons,1999-00,82,42,40,3966,105.2,103.8,1.4,56.1,1.33,15.7,29.5,69.4,49.5,16,49.2,54.8,97.56,50.6
New York Knicks,1999-00,82,50,32,3966,100.9,99.5,1.5,54.8,1.32,15.8,27.7,69.9,49.6,16,48.2,52.7,90.54,50.7
Orlando Magic,1999-00,82,41,41,3951,101.1,100.3,0.8,53.9,1.18,15.3,34.4,66.9,50.6,17.8,47.3,51.6,98.68,49.7
Atlanta Hawks,1999-00,82,28,54,3966,100.1,105.8,-5.7,51.6,1.22,14.6,33.4,69.8,51.6,16.4,46,50.3,93.55,46.2
Los Angeles Clippers,1999-00,82,15,67,3940,96.1,108,-11.9,51.4,1.12,14.2,28.6,67.4,47.4,16.9,45.8,49.9,95.69,41.1
Utah Jazz,2001-02,82,44,38,3966,103.8,102.9,0.9,69.7,1.48,18.4,36.2,68.3,52.1,17.8,47.2,52.9,91.75,53
New Jersey Nets,2001-02,82,52,30,3966,102.4,98.1,4.3,65.4,1.67,18.2,32.2,68.3,50.3,15.4,47.6,51.5,93.2,53.7
Chicago Bulls,2001-02,82,21,61,3961,97.2,106.2,-9.1,64.6,1.45,17.3,29.8,68.5,48.7,16.6,45.6,49.9,91.56,43.6
Indiana Pacers,2001-02,82,42,40,3981,102.8,102.4,0.4,64.2,1.51,17.6,30.2,68.6,49.9,16.2,47.7,52.7,93.13,51
Cleveland Cavaliers,2001-02,82,29,53,3971,103.4,107,-3.6,64.1,1.58,17.8,31.9,69,50.5,15.8,47.7,52.4,91.31,48.2
Portland Trail Blazers,2001-02,82,49,33,3966,105.9,102.6,3.3,64.1,1.64,18,34.5,70.3,52.2,15.7,48.5,52.8,90.55,51.8
Minnesota Timberwolves,2001-02,82,50,32,3961,107.5,104.1,3.4,62.8,1.82,18.4,34.3,70.3,52.4,14.5,49,53.2,91.72,52.9
Memphis Grizzlies,2001-02,82,23,59,3956,96.6,104.7,-8,62.6,1.33,16.9,30.5,66.3,48.3,17.6,46.2,50.1,92.55,45.6
Denver Nuggets,2001-02,82,27,55,3961,100.3,106.6,-6.3,62.3,1.51,17,34.1,66.8,49.7,16,45.5,49.5,91.35,44.2
Detroit Pistons,2001-02,82,50,32,3936,103.2,100.9,2.3,62,1.48,17.3,27.7,67.6,48.1,15.9,49.7,54,91.38,52.3
Seattle SuperSonics,2001-02,82,45,37,3966,107.3,104.1,3.3,61.5,1.71,18.3,32,65.6,49,15.1,50.5,54,90.35,52.2
New York Knicks,2001-02,82,30,52,3961,100.4,104.6,-4.2,61.1,1.44,16.7,29.2,68.4,48.9,15.9,46.8,51.4,90.78,46.6
Toronto Raptors,2001-02,82,42,40,3951,101.1,101.7,-0.6,60.9,1.52,16.9,34.3,67.1,50.3,15.8,46.3,50.1,90.02,49.6
Charlotte Hornets,2001-02,82,44,38,3951,102.9,101.8,1.2,60.8,1.53,16.7,33.3,68.9,51.1,15.4,46.6,51.3,90.93,51.3
Milwaukee Bucks,2001-02,82,41,41,3981,105.3,105.6,-0.3,60.7,1.6,17.7,28.7,67.9,49.1,15.2,50.7,54.4,91.51,50.2
Boston Celtics,2001-02,82,49,33,3966,102.1,99.9,2.2,60.4,1.55,16.4,27.2,69.5,48.1,14.4,47.6,52,93.6,50
Sacramento Kings,2001-02,82,61,21,3951,107.9,99.7,8.1,60,1.74,17.7,30.6,69,50.2,14.2,49.7,53.9,96.74,55.2
Los Angeles Lakers,2001-02,82,58,24,3956,108,100.4,7.6,59.7,1.81,17.5,31.1,68.6,50.1,13.5,49.8,53.4,93.32,54.9
Miami Heat,2001-02,82,36,46,3986,97.3,99,-1.7,59.4,1.37,16.5,29.7,71,50.5,16.6,46.3,50.1,88.47,50.1
