TEAM,W,L,W/L%,GB,PW,PL,PS/G,PA/G,year
Toronto Raptors*,42,40,0.512,8,40,42,91.4,91.8,2002
Milwaukee Bucks,41,41,0.5,9,40,42,97.5,97.7,2002
Atlanta Hawks,33,49,0.402,17,29,53,94,98.3,2002
Cleveland Cavaliers,29,53,0.354,21,31,51,95.3,98.6,2002
Chicago Bulls,21,61,0.256,29,18,64,89.5,98,2002
San Antonio Spurs*,58,24,0.707,0,59,23,96.7,90.5,2002
Dallas Mavericks*,57,25,0.695,1,53,29,105.2,101,2002
Minnesota Timberwolves*,50,32,0.61,8,51,31,99.3,96,2002
Utah Jazz*,44,38,0.537,14,44,38,96,95.1,2002
Houston Rockets,28,54,0.341,30,27,55,92.3,97.2,2002
Denver Nuggets,27,55,0.329,31,24,58,92.2,98,2002
Memphis Grizzlies,23,59,0.28,35,20,62,89.9,97.3,2002
Sacramento Kings*,61,21,0.744,0,61,21,104.6,97,2002
Los Angeles Lakers*,58,24,0.707,3,60,22,101.3,94.1,2002
Portland Trail Blazers*,49,33,0.598,12,50,32,96.6,93.7,2002
Seattle SuperSonics*,45,37,0.549,16,50,32,97.7,94.7,2002
Los Angeles Clippers,39,43,0.476,22,40,42,95.7,96.1,2002
Phoenix Suns,36,46,0.439,25,39,43,95.1,95.8,2002
Golden State Warriors,21,61,0.256,40,26,56,97.7,103.1,2002
Miami Heat*,52,30,0.634,0,50,32,94.4,91.3,2003
New York Knicks*,50,32,0.61,2,46,36,92.1,90.7,2003
Philadelphia 76ers*,49,33,0.598,3,45,37,94.8,93.4,2003
Orlando Magic,41,41,0.5,11,43,39,100.1,99.4,2003
Boston Celtics,35,47,0.427,17,39,43,99.3,100.1,2003
New Jersey Nets,31,51,0.378,21,38,44,98,99,2003
Washington Wizards,29,53,0.354,23,32,50,96.6,99.9,2003
Indiana Pacers*,56,26,0.683,0,54,28,101.3,96.7,2003
Charlotte Hornets*,49,33,0.598,7,49,33,98.4,95.8,2003
Toronto Raptors*,45,37,0.549,11,41,41,97.2,97.3,2003
Milwaukee Bucks*,42,40,0.512,14,42,40,101.2,101,2003
Detroit Pistons*,42,40,0.512,14,45,37,103.5,102,2003
Cleveland Cavaliers,32,50,0.39,24,31,51,97,100.5,2003
Atlanta Hawks,28,54,0.341,28,26,56,94.3,99.7,2003
Chicago Bulls,17,65,0.207,39,15,67,84.8,94.2,2003
Utah Jazz*,55,27,0.671,0,54,28,96.5,92,2003
San Antonio Spurs*,53,29,0.646,2,58,24,96.2,90.2,2003
Minnesota Timberwolves*,50,32,0.61,5,48,34,98.5,96,2003
Dallas Mavericks,40,42,0.488,15,39,43,101.4,102,2003
Denver Nuggets,35,47,0.427,20,35,47,99,101.1,2003
Houston Rockets,34,48,0.415,21,39,43,99.5,100.3,2003
Vancouver Grizzlies,22,60,0.268,33,25,57,93.9,99.5,2003
Los Angeles Lakers*,67,15,0.817,0,64,18,100.8,92.3,2003
Portland Trail Blazers*,59,23,0.72,8,59,23,97.5,91,2003
Phoenix Suns*,53,29,0.646,14,56,26,98.9,93.7,2003
Seattle SuperSonics*,45,37,0.549,22,44,38,99.1,98.1,2003
Sacramento Kings*,44,38,0.537,23,49,33,105,102,2003
Golden State Warriors,19,63,0.232,48,20,62,95.5,103.8,2003
Los Angeles Clippers,15,67,0.183,52,13,69,92,103.5,2003
Philadelphia 76ers*,56,26,0.683,0,54,28,94.7,90.4,2003
Miami Heat*,50,32,0.61,6,48,34,88.9,86.6,2003
New York Knicks*,48,34,0.585,8,50,32,88.7,86.1,2003
Orlando Magic*,43,39,0.524,13,44,38,97.5,96.5,2003
Boston Celtics,36,46,0.439,20,35,47,94.6,96.8,2003
New Jersey Nets,26,56,0.317,30,26,56,92.1,97.1,2003
Washington Wizards,19,63,0.232,37,23,59,93.2,99.9,2003
Milwaukee Bucks*,52,30,0.634,0,52,30,100.7,96.9,2003
Toronto Raptors*,47,35,0.573,5,48,34,97.6,95.4,2003
Charlotte Hornets*,46,36,0.561,6,48,34,91.9,89.8,2003
Indiana Pacers*,41,41,0.5,11,40,42,92.6,92.8,2003
Detroit Pistons,32,50,0.39,20,36,46,95.6,97.3,2003
Cleveland Cavaliers,30,52,0.366,22,28,54,92.2,96.5,2003
Atlanta Hawks,25,57,0.305,27,26,56,91,96.2,2003
Chicago Bulls,15,67,0.183,37,16,66,87.6,96.7,2003
San Antonio Spurs*,58,24,0.707,0,63,19,96.2,88.4,2003
Utah Jazz*,53,29,0.646,5,55,27,97.1,92.4,2003
Dallas Mavericks*,53,29,0.646,5,53,29,100.5,96.2,2003
Minnesota Timberwolves*,47,35,0.573,11,45,37,97.3,96,2003
Houston Rockets,45,37,0.549,13,48,34,97.2,94.9,2003
Denver Nuggets,40,42,0.488,18,34,48,96.6,99,2003
Vancouver Grizzlies,23,59,0.28,35,25,57,91.7,97.5,2003
Los Angeles Lakers*,56,26,0.683,0,51,31,100.6,97.2,2003
Sacramento Kings*,55,27,0.671,1,57,25,101.7,95.9,2003
Phoenix Suns*,51,31,0.622,5,48,34,94,91.8,2003
Portland Trail Blazers*,50,32,0.61,6,53,29,95.4,91.2,2003
Seattle SuperSonics,44,38,0.537,12,41,41,97.3,97.3,2003
Los Angeles Clippers,31,51,0.378,25,32,50,92.5,95.3,2003
Golden State Warriors,17,65,0.207,39,17,65,92.5,101.5,2003
New Jersey Nets*,52,30,0.634,0,53,29,96.2,92,2003
Boston Celtics*,49,33,0.598,3,48,34,96.4,94.1,2003
Orlando Magic*,44,38,0.537,8,46,36,100.5,98.9,2003
Philadelphia 76ers*,43,39,0.524,9,46,36,91,89.4,2003
Washington Wizards,37,45,0.451,15,37,45,92.8,94.2,2003
Miami Heat,36,46,0.439,16,36,46,87.2,88.7,2003
New York Knicks,30,52,0.366,22,29,53,91.6,95.6,2003
Detroit Pistons*,50,32,0.61,0,48,34,94.3,92.2,2003
Charlotte Hornets*,44,38,0.537,6,44,38,93.9,92.9,2003
Indiana Pacers*,42,40,0.512,8,42,40,96.8,96.5,2003
Toronto Raptors*,42,40,0.512,8,40,42,91.4,91.8,2003
Milwaukee Bucks,41,41,0.5,9,40,42,97.5,97.7,2003
Atlanta Hawks,33,49,0.402,17,29,53,94,98.3,2003
Cleveland Cavaliers,29,53,0.354,21,31,51,95.3,98.6,2003
Chicago Bulls,21,61,0.256,29,18,64,89.5,98,2003
San Antonio Spurs*,58,24,0.707,0,59,23,96.7,90.5,2003
Dallas Mavericks*,57,25,0.695,1,53,29,105.2,101,2003
Minnesota Timberwolves*,50,32,0.61,8,51,31,99.3,96,2003
Utah Jazz*,44,38,0.537,14,44,38,96,95.1,2003
Houston Rockets,28,54,0.341,30,27,55,92.3,97.2,2003
