coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Lawrence Frank,NJN,2,2,82,42,40,122,67,55,122,67,55,0.5489999999999999,4.0,0.0,4.0,15.0,7.0,8.0,15.0,7.0,8.0,2005,NJN,Nets,NJN2005,2005-2006,5.0,3.0,7.0,15.0,49.0,33.0,Second Round,1.0,0.0,12.0,3.0,0.0,27.4,82.0,35.0,47.0,3981.0,106.0,107.3,-1.3,58.4,1.51,17.0,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1
Byron Scott,NOH,1,5,82,18,64,82,18,64,370,167,203,0.451,,,,,,,40.0,25.0,15.0,2005,NOH,Hornets,NOH2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenny Wilkens,NYK,2,32,39,17,22,81,40,41,2487,1332,1155,0.536,,,,4.0,0.0,4.0,178.0,80.0,98.0,2005,NYK,NY Knicks,NYK2005,2005-2006,3.0,8.0,4.0,15.0,23.0,59.0,Lottery,0.0,0.0,11.0,2.0,2.0,25.4,82.0,44.0,38.0,3966.0,109.0,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48.0,14.2,53.1,57.1,97.03,50.2
Herb Williams,NYK,2,2,43,16,27,44,17,27,44,17,27,0.386,,,,,,,,,,2005,NYK,NY Knicks,NYK2005,2005-2006,3.0,8.0,4.0,15.0,23.0,59.0,Lottery,0.0,0.0,11.0,2.0,2.0,25.4,82.0,44.0,38.0,3966.0,109.0,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48.0,14.2,53.1,57.1,97.03,50.2
Johnny Davis,ORL,2,3,64,31,33,135,51,84,217,73,144,0.336,,,,,,,,,,2005,ORL,Magic,ORL2005,2005-2006,4.0,7.0,4.0,15.0,36.0,46.0,Lottery,0.0,0.0,10.0,3.0,2.0,25.9,82.0,54.0,28.0,3946.0,112.1,108.1,4.0,65.3,2.04,19.3,30.8,74.4,52.4,13.6,52.7,55.8,98.49,52.4
Chris Jent,ORL,1,1,18,5,13,18,5,13,18,5,13,0.278,,,,,,,,,,2005,ORL,Magic,ORL2005,2005-2006,4.0,7.0,4.0,15.0,36.0,46.0,Lottery,0.0,0.0,10.0,3.0,2.0,25.9,82.0,54.0,28.0,3946.0,112.1,108.1,4.0,65.3,2.04,19.3,30.8,74.4,52.4,13.6,52.7,55.8,98.49,52.4
Jim O'Brien,PHI,1,5,82,43,39,82,43,39,340,182,158,0.535,5.0,1.0,4.0,5.0,1.0,4.0,31.0,14.0,17.0,2005,PHI,76ers,PHI2005,2005-2006,7.0,3.0,3.0,13.0,38.0,44.0,Lottery,1.0,0.0,7.0,4.0,2.0,24.9,82.0,36.0,46.0,3956.0,109.0,109.0,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50.0
Mike D'Antoni,PHO,2,3,82,62,20,143,83,60,193,97,96,0.503,15.0,9.0,6.0,15.0,9.0,6.0,15.0,9.0,6.0,2005,PHO,Suns,PHO2005,2005-2006,4.0,4.0,6.0,14.0,54.0,28.0,Conference Finals,2.0,1.0,9.0,3.0,2.0,26.5,82.0,25.0,57.0,3946.0,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48.0,14.7,51.2,54.5,98.58,47.2
Maurice Cheeks,POR,4,4,55,22,33,301,162,139,301,162,139,0.5379999999999999,,,,10.0,3.0,7.0,10.0,3.0,7.0,2005,POR,Trail Blazers,POR2005,2005-2006,7.0,4.0,3.0,14.0,21.0,61.0,Lottery,0.0,0.0,11.0,3.0,0.0,24.0,82.0,39.0,43.0,3961.0,106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74.0,49.9,13.8,51.2,54.3,96.75,48.9
Kevin Pritchard,POR,1,1,27,5,22,27,5,22,27,5,22,0.185,,,,,,,,,,2005,POR,Trail Blazers,POR2005,2005-2006,7.0,4.0,3.0,14.0,21.0,61.0,Lottery,0.0,0.0,11.0,3.0,0.0,24.0,82.0,39.0,43.0,3961.0,106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74.0,49.9,13.8,51.2,54.3,96.75,48.9
Rick Adelman,SAC,7,15,82,50,32,542,351,191,1151,708,443,0.615,5.0,1.0,4.0,63.0,32.0,31.0,132.0,68.0,64.0,2005,SAC,Kings,SAC2005,2005-2006,2.0,9.0,3.0,14.0,44.0,38.0,First Round,0.0,0.0,10.0,2.0,2.0,25.8,82.0,47.0,35.0,3946.0,107.1,104.1,3.0,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.7,52.5
Gregg Popovich,SAS,9,9,82,59,23,688,455,233,688,455,233,0.6609999999999999,23.0,16.0,7.0,110.0,69.0,41.0,110.0,69.0,41.0,2005,SAS,Spurs,SAS2005,2005-2006,4.0,1.0,9.0,14.0,63.0,19.0,Second Round,2.0,0.0,8.0,3.0,3.0,29.0,82.0,55.0,27.0,3961.0,106.8,103.2,3.6,58.6,1.6,17.0,26.3,73.9,50.4,14.4,51.8,55.2,96.75,51.9
Nate McMillan,SEA,5,5,82,52,30,395,212,183,395,212,183,0.537,11.0,6.0,5.0,16.0,8.0,8.0,16.0,8.0,8.0,2005,SEA,SuperSonics,SEA2005,2005-2006,5.0,5.0,3.0,13.0,35.0,47.0,Lottery,1.0,0.0,7.0,2.0,4.0,24.7,82.0,28.0,54.0,3971.0,106.1,109.7,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.66,47.4
Sam Mitchell,TOR,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,2005,TOR,Raptors,TOR2005,2005-2006,7.0,3.0,4.0,14.0,27.0,55.0,Lottery,1.0,0.0,6.0,4.0,4.0,25.9,82.0,48.0,34.0,3951.0,108.5,107.3,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.84,50.9
Jerry Sloan,UTA,17,20,82,26,56,1345,849,496,1560,943,617,0.604,,,,152.0,76.0,76.0,158.0,78.0,80.0,2005,UTA,Jazz,UTA2005,2005-2006,6.0,1.0,7.0,14.0,41.0,41.0,Lottery,0.0,0.0,4.0,6.0,4.0,24.1,82.0,27.0,55.0,3971.0,103.4,110.5,-7.0,60.7,1.68,17.3,25.6,76.7,50.0,14.1,49.7,52.9,98.65,45.3
Eddie Jordan,WAS,2,4,82,45,37,164,70,94,261,103,158,0.395,10.0,4.0,6.0,10.0,4.0,6.0,10.0,4.0,6.0,2005,WAS,Wizards,WAS2005,2005-2006,5.0,3.0,7.0,15.0,42.0,40.0,First Round,1.0,0.0,7.0,5.0,3.0,25.2,82.0,44.0,38.0,3986.0,106.2,105.8,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.8,52.0,55.1,96.1,50.5
Mike Woodson,ATL,2,2,82,26,56,164,39,125,164,39,125,0.23800000000000002,,,,,,,,,,2006,ATL,Hawks,ATL2006,2006-2007,7.0,3.0,5.0,15.0,30.0,52.0,Lottery,1.0,0.0,8.0,5.0,2.0,24.4,82.0,51.0,31.0,3976.0,112.8,109.7,3.1,56.7,1.66,17.1,26.4,72.2,49.9,14.0,54.7,58.0,96.74,51.0
Doc Rivers,BOS,2,7,82,33,49,164,78,86,503,249,254,0.495,,,,7.0,3.0,4.0,22.0,8.0,14.0,2006,BOS,Celtics,BOS2006,2006-2007,9.0,4.0,2.0,15.0,24.0,58.0,Lottery,0.0,0.0,11.0,3.0,1.0,24.3,82.0,26.0,56.0,3941.0,105.3,112.0,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,99.26,44.6
Bernie Bickerstaff,CHA,2,12,82,26,56,164,44,120,850,382,468,0.449,,,,,,,33.0,12.0,21.0,2006,CHA,Bobcats,CHA2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Skiles,CHI,3,6,82,41,41,230,107,123,425,223,202,0.525,6.0,2.0,4.0,12.0,4.0,8.0,25.0,9.0,16.0,2006,CHI,Bulls,CHI2006,2006-2007,6.0,4.0,5.0,15.0,49.0,33.0,Second Round,0.0,0.0,7.0,3.0,5.0,25.0,82.0,31.0,51.0,3961.0,110.0,110.9,-0.9,60.0,1.69,17.7,30.9,71.0,50.7,14.6,51.1,55.5,95.48,50.1
Mike Brown,CLE,1,1,82,50,32,82,50,32,82,50,32,0.61,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2006,CLE,Cavaliers,CLE2006,2006-2007,5.0,4.0,6.0,15.0,50.0,32.0,NBA Finals (Loss),1.0,0.0,8.0,3.0,4.0,26.8,82.0,20.0,62.0,3951.0,103.6,110.1,-6.5,56.6,1.29,15.9,24.1,71.6,48.3,16.2,50.7,55.1,101.75,46.0
Avery Johnson,DAL,2,2,82,60,22,100,76,24,100,76,24,0.76,23.0,14.0,9.0,36.0,20.0,16.0,36.0,20.0,16.0,2006,DAL,Mavericks,DAL2006,2006-2007,4.0,4.0,7.0,15.0,67.0,15.0,First Round,2.0,1.0,11.0,1.0,3.0,27.5,82.0,33.0,49.0,3956.0,104.7,107.7,-3.0,57.4,1.75,16.8,21.6,73.3,46.5,12.7,50.5,54.1,93.11,47.9
George Karl,DEN,2,18,82,44,38,122,76,46,1329,784,545,0.59,5.0,1.0,4.0,10.0,2.0,8.0,136.0,61.0,75.0,2006,DEN,Nuggets,DEN2006,2006-2007,3.0,6.0,6.0,15.0,45.0,37.0,First Round,2.0,0.0,8.0,4.0,3.0,25.3,82.0,34.0,48.0,3981.0,104.7,106.8,-2.1,58.2,1.77,17.1,22.8,72.8,48.0,12.9,50.4,53.9,98.56,49.3
Flip Saunders,DET,1,11,82,64,18,82,64,18,819,475,344,0.58,18.0,10.0,8.0,18.0,10.0,8.0,65.0,27.0,38.0,2006,DET,Pistons,DET2006,2006-2007,5.0,2.0,8.0,15.0,53.0,29.0,Conference Finals,2.0,0.0,11.0,3.0,1.0,27.8,82.0,40.0,42.0,3951.0,112.2,111.7,0.4,61.5,1.69,18.2,31.4,75.3,53.2,15.0,53.0,56.8,99.18,50.3
Mike Montgomery,GSW,2,2,82,34,48,164,68,96,164,68,96,0.415,,,,,,,,,,2006,GSW,Warriors,GSW2006,2006-2007,6.0,6.0,2.0,14.0,42.0,40.0,Second Round,0.0,0.0,8.0,3.0,3.0,24.6,82.0,29.0,53.0,3961.0,103.7,110.3,-6.5,58.0,1.67,16.8,26.7,72.6,49.1,13.7,48.9,52.4,96.9,46.0
Jeff Van Gundy,HOU,3,10,82,34,48,246,130,116,666,378,288,0.568,,,,12.0,4.0,8.0,81.0,41.0,40.0,2006,HOU,Rockets,HOU2006,2006-2007,4.0,7.0,4.0,15.0,52.0,30.0,First Round,2.0,0.0,10.0,3.0,2.0,27.1,82.0,51.0,31.0,3951.0,109.0,104.7,4.3,54.4,1.48,16.2,27.0,74.3,51.4,14.8,52.6,56.3,92.09,53.4
Rick Carlisle,IND,3,5,82,41,41,246,146,100,410,246,164,0.6,6.0,2.0,4.0,35.0,18.0,17.0,62.0,30.0,32.0,2006,IND,Pacers,IND2006,2006-2007,5.0,8.0,1.0,15.0,35.0,47.0,Lottery,1.0,0.0,9.0,2.0,4.0,26.0,82.0,52.0,30.0,3956.0,108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52.0,16.3,53.5,56.8,100.75,54.2
Mike Dunleavy,LAC,3,13,82,47,35,246,112,134,1034,510,524,0.493,12.0,7.0,5.0,12.0,7.0,5.0,71.0,38.0,33.0,2006,LAC,Clippers,LAC2006,2006-2007,5.0,3.0,7.0,15.0,40.0,42.0,Lottery,0.0,0.0,7.0,4.0,4.0,25.9,82.0,47.0,35.0,3961.0,107.9,107.1,0.8,53.2,1.4,15.5,32.3,74.2,52.8,15.2,50.0,54.0,98.18,49.9
Phil Jackson,LAL,6,15,82,45,37,492,332,160,1230,877,353,0.713,7.0,3.0,4.0,99.0,67.0,32.0,251.0,178.0,73.0,2006,LAL,Lakers,LAL2006,2006-2007,7.0,4.0,4.0,15.0,42.0,40.0,First Round,1.0,0.0,10.0,3.0,2.0,25.2,82.0,51.0,31.0,3956.0,111.4,107.1,4.3,47.2,1.46,14.5,29.1,71.7,50.5,13.2,51.7,56.1,95.41,51.6
Mike Fratello,MEM,2,16,82,49,33,148,89,59,1185,661,524,0.5579999999999999,4.0,0.0,4.0,8.0,0.0,8.0,62.0,20.0,42.0,2006,MEM,Grizzlies,MEM2006,2006-2007,7.0,2.0,5.0,14.0,22.0,60.0,Lottery,0.0,0.0,8.0,3.0,3.0,25.0,82.0,43.0,39.0,3981.0,107.0,106.5,0.5,58.4,1.65,16.5,29.5,73.1,50.7,13.7,49.1,53.5,92.84,50.1
Stan Van Gundy,MIA,3,3,21,11,10,185,112,73,185,112,73,0.605,,,,28.0,17.0,11.0,28.0,17.0,11.0,2006,MIA,Heat,MIA2006,2006-2007,3.0,4.0,8.0,15.0,44.0,38.0,First Round,2.0,0.0,11.0,1.0,3.0,28.2,82.0,61.0,21.0,3961.0,110.3,102.9,7.4,60.6,1.77,18.1,28.2,73.0,51.1,14.1,52.4,56.4,94.86,55.1
Pat Riley,MIA,9,22,61,41,20,685,395,290,1740,1151,589,0.6609999999999999,23.0,16.0,7.0,66.0,34.0,32.0,278.0,171.0,107.0,2006,MIA,Heat,MIA2006,2006-2007,3.0,4.0,8.0,15.0,44.0,38.0,First Round,2.0,0.0,11.0,1.0,3.0,28.2,82.0,61.0,21.0,3961.0,110.3,102.9,7.4,60.6,1.77,18.1,28.2,73.0,51.1,14.1,52.4,56.4,94.86,55.1
Terry Stotts,MIL,1,3,82,40,42,82,40,42,219,92,127,0.42,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2006,MIL,Bucks,MIL2006,2006-2007,6.0,4.0,5.0,15.0,28.0,54.0,Lottery,0.0,0.0,3.0,8.0,4.0,24.8,82.0,41.0,41.0,3956.0,107.4,106.4,1.0,54.4,1.58,16.3,28.4,71.8,49.9,14.0,51.2,54.1,95.51,50.0
Dwane Casey,MIN,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,2006,MIN,Timberwolves,MIN2006,2006-2007,5.0,4.0,4.0,13.0,32.0,50.0,Lottery,1.0,0.0,5.0,6.0,2.0,26.3,82.0,41.0,41.0,3956.0,106.5,106.2,0.3,58.4,1.66,16.8,31.1,73.3,51.9,14.0,48.7,53.0,96.02,50.4
Lawrence Frank,NJN,3,3,82,49,33,204,116,88,204,116,88,0.569,11.0,5.0,6.0,26.0,12.0,14.0,26.0,12.0,14.0,2006,NJN,Nets,NJN2006,2006-2007,8.0,5.0,2.0,15.0,41.0,41.0,Second Round,2.0,0.0,9.0,5.0,1.0,26.0,82.0,31.0,51.0,3971.0,107.1,110.7,-3.6,55.1,1.57,16.3,30.5,69.8,50.0,14.3,49.6,53.4,96.63,48.2
Byron Scott,NOK,2,6,82,38,44,164,56,108,452,205,247,0.45399999999999996,,,,,,,40.0,25.0,15.0,2006,NOK,Hornets,NOK2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Brown,NYK,1,27,82,23,59,82,23,59,2146,1239,907,0.5770000000000001,,,,,,,231.0,120.0,111.0,2006,NYK,NY Knicks,NYK2006,2006-2007,5.0,6.0,4.0,15.0,33.0,49.0,Lottery,0.0,0.0,12.0,2.0,1.0,25.3,82.0,43.0,39.0,3976.0,104.5,105.2,-0.7,62.1,1.5,17.4,28.2,71.7,50.2,16.0,50.4,54.1,97.76,50.6
Brian Hill,ORL,5,8,82,36,46,377,227,150,531,258,273,0.486,,,,36.0,18.0,18.0,36.0,18.0,18.0,2006,ORL,Magic,ORL2006,2006-2007,5.0,6.0,4.0,15.0,40.0,42.0,First Round,1.0,0.0,9.0,4.0,2.0,25.6,82.0,42.0,40.0,3956.0,108.5,108.7,-0.2,62.4,1.73,18.5,26.0,70.6,48.7,14.6,52.7,56.5,94.99,50.4
Maurice Cheeks,PHI,1,5,82,38,44,82,38,44,383,200,183,0.522,,,,,,,10.0,3.0,7.0,2006,PHI,76ers,PHI2006,2006-2007,7.0,3.0,4.0,14.0,35.0,47.0,Lottery,0.0,0.0,7.0,4.0,3.0,25.3,82.0,41.0,41.0,3986.0,109.4,110.0,-0.6,53.4,1.54,16.0,26.9,72.0,49.6,13.9,52.0,55.9,97.38,49.3
Mike D'Antoni,PHO,3,4,82,54,28,225,137,88,275,151,124,0.5489999999999999,20.0,10.0,10.0,35.0,19.0,16.0,35.0,19.0,16.0,2006,PHO,Suns,PHO2006,2006-2007,3.0,3.0,8.0,14.0,61.0,21.0,Second Round,3.0,0.0,10.0,2.0,2.0,28.5,82.0,58.0,24.0,3946.0,112.8,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.35,55.4
Nate McMillan,POR,1,6,82,21,61,82,21,61,477,233,244,0.488,,,,,,,16.0,8.0,8.0,2006,POR,Trail Blazers,POR2006,2006-2007,7.0,5.0,3.0,15.0,32.0,50.0,Lottery,0.0,0.0,13.0,0.0,2.0,24.1,82.0,32.0,50.0,3976.0,106.6,110.8,-4.2,59.4,1.54,17.3,25.8,72.3,49.2,15.2,51.6,55.6,95.42,47.8
Rick Adelman,SAC,8,16,82,44,38,624,395,229,1233,752,481,0.61,6.0,2.0,4.0,69.0,34.0,35.0,138.0,70.0,68.0,2006,SAC,Kings,SAC2006,2006-2007,3.0,6.0,4.0,13.0,33.0,49.0,Lottery,0.0,0.0,10.0,0.0,3.0,26.4,82.0,51.0,31.0,3951.0,111.8,107.5,4.4,57.0,1.74,17.2,25.6,73.3,50.1,13.3,53.7,57.4,96.77,52.7
Gregg Popovich,SAS,10,10,82,63,19,770,518,252,770,518,252,0.6729999999999999,13.0,7.0,6.0,123.0,76.0,47.0,123.0,76.0,47.0,2006,SAS,Spurs,SAS2006,2006-2007,4.0,2.0,9.0,15.0,58.0,24.0,NBA Champion,2.0,0.0,8.0,4.0,3.0,28.7,82.0,43.0,39.0,3971.0,108.1,107.7,0.4,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56.0,97.67,50.9
Bob Weiss,SEA,1,7,30,13,17,30,13,17,522,223,299,0.42700000000000005,,,,,,,11.0,2.0,9.0,2006,SEA,SuperSonics,SEA2006,2006-2007,7.0,4.0,4.0,15.0,31.0,51.0,Lottery,1.0,0.0,8.0,4.0,3.0,25.1,82.0,24.0,58.0,3966.0,106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,100.85,46.2
Bob Hill,SEA,1,8,52,22,30,52,22,30,521,279,242,0.536,,,,,,,37.0,17.0,20.0,2006,SEA,SuperSonics,SEA2006,2006-2007,7.0,4.0,4.0,15.0,31.0,51.0,Lottery,1.0,0.0,8.0,4.0,3.0,25.1,82.0,24.0,58.0,3966.0,106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,100.85,46.2
Sam Mitchell,TOR,2,2,82,27,55,164,60,104,164,60,104,0.366,,,,,,,,,,2006,TOR,Raptors,TOR2006,2006-2007,6.0,4.0,5.0,15.0,47.0,35.0,First Round,1.0,0.0,10.0,2.0,3.0,25.5,82.0,42.0,40.0,3971.0,107.9,108.1,-0.2,57.2,1.63,17.2,25.5,71.3,48.8,14.1,51.6,55.8,96.59,50.5
Jerry Sloan,UTA,18,21,82,41,41,1427,890,537,1642,984,658,0.599,,,,152.0,76.0,76.0,158.0,78.0,80.0,2006,UTA,Jazz,UTA2006,2006-2007,7.0,3.0,3.0,13.0,51.0,31.0,Conference Finals,2.0,0.0,6.0,7.0,0.0,24.7,82.0,37.0,45.0,3961.0,105.3,106.7,-1.4,53.0,1.78,16.1,28.6,77.5,51.9,12.3,49.2,52.1,95.52,48.2
Eddie Jordan,WAS,3,5,82,42,40,246,112,134,343,145,198,0.423,6.0,2.0,4.0,16.0,6.0,10.0,16.0,6.0,10.0,2006,WAS,Wizards,WAS2006,2006-2007,3.0,3.0,9.0,15.0,41.0,41.0,First Round,2.0,0.0,7.0,6.0,2.0,26.0,82.0,36.0,46.0,3966.0,108.4,108.4,0.0,61.1,2.01,17.6,24.7,74.9,49.6,11.9,50.1,54.7,95.92,50.5
Mike Woodson,ATL,3,3,82,30,52,246,69,177,246,69,177,0.28,,,,,,,,,,2007,ATL,Hawks,ATL2007,2007-2008,7.0,2.0,4.0,13.0,37.0,45.0,First Round,1.0,0.0,8.0,3.0,2.0,23.5,82.0,28.0,54.0,3966.0,105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3
Doc Rivers,BOS,3,8,82,24,58,246,102,144,585,273,312,0.467,,,,7.0,3.0,4.0,22.0,8.0,14.0,2007,BOS,Celtics,BOS2007,2007-2008,7.0,2.0,6.0,15.0,66.0,16.0,NBA Champion,3.0,0.0,9.0,6.0,0.0,27.8,82.0,51.0,31.0,3966.0,106.3,101.4,4.9,59.1,1.53,17.4,28.4,72.4,50.8,15.5,51.7,55.0,97.37,52.8
Bernie Bickerstaff,CHA,3,13,82,33,49,246,77,169,932,415,517,0.445,,,,,,,33.0,12.0,21.0,2007,CHA,Bobcats,CHA2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Skiles,CHI,4,7,82,49,33,312,156,156,507,272,235,0.536,10.0,6.0,4.0,22.0,10.0,12.0,35.0,15.0,20.0,2007,CHI,Bulls,CHI2007,2007-2008,9.0,4.0,1.0,15.0,33.0,49.0,Lottery,0.0,0.0,10.0,4.0,1.0,23.2,82.0,37.0,45.0,3971.0,107.0,108.1,-1.1,54.2,1.54,16.0,29.1,70.5,49.2,14.1,50.5,54.1,91.24,49.0
Mike Brown,CLE,2,2,82,50,32,164,100,64,164,100,64,0.61,20.0,12.0,8.0,33.0,19.0,14.0,33.0,19.0,14.0,2007,CLE,Cavaliers,CLE2007,2007-2008,4.0,6.0,5.0,15.0,45.0,37.0,Second Round,1.0,0.0,6.0,3.0,6.0,27.4,82.0,54.0,28.0,3971.0,110.4,106.2,4.2,59.4,1.69,17.2,32.0,71.3,51.7,14.2,50.4,54.8,95.9,52.4
Avery Johnson,DAL,3,3,82,67,15,182,143,39,182,143,39,0.7859999999999999,6.0,2.0,4.0,42.0,22.0,20.0,42.0,22.0,20.0,2007,DAL,Mavericks,DAL2007,2007-2008,2.0,6.0,7.0,15.0,51.0,31.0,First Round,1.0,0.0,12.0,1.0,2.0,28.9,82.0,56.0,26.0,3956.0,103.6,98.9,4.7,56.0,1.33,15.9,29.6,72.1,51.7,16.2,49.0,53.5,92.89,54.5
George Karl,DEN,3,19,82,45,37,204,121,83,1411,829,582,0.588,5.0,1.0,4.0,15.0,3.0,12.0,141.0,62.0,79.0,2007,DEN,Nuggets,DEN2007,2007-2008,3.0,7.0,4.0,14.0,50.0,32.0,First Round,2.0,0.0,8.0,3.0,3.0,26.5,82.0,62.0,20.0,3951.0,109.5,101.4,8.1,62.1,1.75,19.0,26.1,72.5,50.3,15.0,53.7,57.1,95.87,55.5
Flip Saunders,DET,2,12,82,53,29,164,117,47,901,528,373,0.586,16.0,10.0,6.0,34.0,20.0,14.0,81.0,37.0,44.0,2007,DET,Pistons,DET2007,2007-2008,6.0,4.0,5.0,15.0,59.0,23.0,Conference Finals,3.0,0.0,12.0,2.0,1.0,27.3,82.0,48.0,34.0,3991.0,107.9,104.6,3.3,58.1,1.5,16.4,31.2,70.1,50.5,15.1,49.8,54.5,92.48,51.2
Don Nelson,GSW,8,28,82,42,40,619,319,300,2152,1232,920,0.5720000000000001,11.0,5.0,6.0,35.0,14.0,21.0,166.0,75.0,91.0,2007,GSW,Warriors,GSW2007,2007-2008,7.0,3.0,4.0,14.0,48.0,34.0,Lottery,0.0,0.0,8.0,4.0,2.0,24.1,82.0,49.0,33.0,3966.0,109.5,107.2,2.3,59.6,1.74,18.0,27.6,69.4,48.7,14.1,52.6,56.4,94.94,52.1
Jeff Van Gundy,HOU,4,11,82,52,30,328,182,146,748,430,318,0.575,7.0,3.0,4.0,19.0,7.0,12.0,88.0,44.0,44.0,2007,HOU,Rockets,HOU2007,2007-2008,6.0,5.0,4.0,15.0,55.0,27.0,First Round,1.0,0.0,8.0,5.0,2.0,27.5,82.0,44.0,38.0,3976.0,105.4,106.7,-1.3,58.5,1.44,16.7,26.0,68.6,47.5,15.5,51.4,55.5,92.42,49.2
Rick Carlisle,IND,4,6,82,35,47,328,181,147,492,281,211,0.5710000000000001,,,,35.0,18.0,17.0,62.0,30.0,32.0,2007,IND,Pacers,IND2007,2007-2008,5.0,5.0,5.0,15.0,36.0,46.0,Lottery,0.0,0.0,10.0,2.0,3.0,25.8,82.0,54.0,28.0,3966.0,109.8,105.2,4.6,56.3,1.33,16.1,30.6,70.0,51.3,16.5,53.1,57.1,97.27,53.4
Mike Dunleavy,LAC,4,14,82,40,42,328,152,176,1116,550,566,0.493,,,,12.0,7.0,5.0,71.0,38.0,33.0,2007,LAC,Clippers,LAC2007,2007-2008,4.0,2.0,9.0,15.0,23.0,59.0,Lottery,0.0,0.0,8.0,4.0,3.0,25.6,82.0,29.0,53.0,3956.0,105.2,109.0,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4
Phil Jackson,LAL,7,16,82,42,40,574,374,200,1312,919,393,0.7,5.0,1.0,4.0,104.0,68.0,36.0,256.0,179.0,77.0,2007,LAL,Lakers,LAL2007,2007-2008,6.0,4.0,5.0,15.0,57.0,25.0,NBA Finals (Loss),1.0,1.0,9.0,3.0,3.0,25.6,82.0,25.0,57.0,3946.0,101.9,106.5,-4.6,57.6,1.37,16.2,31.4,70.8,50.5,16.3,47.7,51.7,94.28,46.1
Mike Fratello,MEM,3,17,30,6,24,178,95,83,1215,667,548,0.5489999999999999,,,,8.0,0.0,8.0,62.0,20.0,42.0,2007,MEM,Grizzlies,MEM2007,2007-2008,5.0,5.0,4.0,14.0,22.0,60.0,Lottery,0.0,0.0,11.0,2.0,1.0,24.8,82.0,54.0,28.0,3976.0,110.0,105.0,5.1,58.8,1.52,18.1,24.4,68.6,47.6,15.9,55.4,59.0,91.9,53.9
Tony Barone,MEM,1,1,52,16,36,52,16,36,52,16,36,0.308,,,,,,,,,,2007,MEM,Grizzlies,MEM2007,2007-2008,5.0,5.0,4.0,14.0,22.0,60.0,Lottery,0.0,0.0,11.0,2.0,1.0,24.8,82.0,54.0,28.0,3976.0,110.0,105.0,5.1,58.8,1.52,18.1,24.4,68.6,47.6,15.9,55.4,59.0,91.9,53.9
Pat Riley,MIA,10,23,82,44,38,767,439,328,1822,1195,627,0.6559999999999999,4.0,0.0,4.0,70.0,34.0,36.0,282.0,171.0,111.0,2007,MIA,Heat,MIA2007,2007-2008,3.0,5.0,9.0,17.0,15.0,67.0,Lottery,1.0,0.0,8.0,3.0,6.0,26.0,82.0,25.0,57.0,3956.0,102.4,110.1,-7.6,56.4,1.39,16.1,29.7,70.8,49.7,15.8,48.4,52.3,92.32,45.1
