coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Bill Berry,CHI,1,1,2,0,2,2,0,2,2,0,2,0.0,,,,,,,,,,2002,CHI,Bulls,CHI2002,2002-2003,9.0,1.0,5.0,15.0,30.0,52.0,Lottery,0.0,0.0,9.0,4.0,2.0,24.5,82.0,27.0,55.0,3961.0,100.3,106.6,-6.3,62.3,1.51,17.0,34.1,66.8,49.7,16.0,45.5,49.5,91.35,44.2
Bill Cartwright,CHI,1,1,55,17,38,55,17,38,55,17,38,0.309,,,,,,,,,,2002,CHI,Bulls,CHI2002,2002-2003,9.0,1.0,5.0,15.0,30.0,52.0,Lottery,0.0,0.0,9.0,4.0,2.0,24.5,82.0,27.0,55.0,3961.0,100.3,106.6,-6.3,62.3,1.51,17.0,34.1,66.8,49.7,16.0,45.5,49.5,91.35,44.2
John Lucas,CLE,1,5,82,29,53,82,29,53,389,165,224,0.424,,,,,,,14.0,6.0,8.0,2002,CLE,Cavaliers,CLE2002,2002-2003,5.0,5.0,2.0,12.0,17.0,65.0,Lottery,1.0,0.0,7.0,1.0,4.0,22.3,82.0,26.0,56.0,3956.0,102.9,107.3,-4.4,64.6,1.41,17.4,35.1,69.5,51.8,17.4,46.9,52.2,90.02,47.5
Don Nelson,DAL,5,24,82,57,25,362,185,177,1842,1036,806,0.562,8.0,4.0,4.0,18.0,8.0,10.0,130.0,59.0,71.0,2002,DAL,Mavericks,DAL2002,2002-2003,2.0,7.0,6.0,15.0,60.0,22.0,Conference Finals,2.0,0.0,7.0,4.0,4.0,28.5,82.0,42.0,40.0,3951.0,101.1,101.7,-0.6,60.9,1.52,16.9,34.3,67.1,50.3,15.8,46.3,50.1,90.02,49.6
Dan Issel,DEN,6,6,26,9,17,388,180,208,388,180,208,0.46399999999999997,,,,12.0,6.0,6.0,12.0,6.0,6.0,2002,DEN,Nuggets,DEN2002,2002-2003,4.0,5.0,5.0,14.0,17.0,65.0,Lottery,0.0,0.0,6.0,4.0,4.0,23.3,82.0,49.0,33.0,3951.0,104.7,102.6,2.2,64.5,1.6,18.0,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1
Mike Evans,DEN,1,1,56,18,38,56,18,38,56,18,38,0.321,,,,,,,,,,2002,DEN,Nuggets,DEN2002,2002-2003,4.0,5.0,5.0,14.0,17.0,65.0,Lottery,0.0,0.0,6.0,4.0,4.0,23.3,82.0,49.0,33.0,3951.0,104.7,102.6,2.2,64.5,1.6,18.0,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1
Rick Carlisle,DET,1,1,82,50,32,82,50,32,82,50,32,0.61,10.0,4.0,6.0,10.0,4.0,6.0,10.0,4.0,6.0,2002,DET,Pistons,DET2002,2002-2003,3.0,8.0,4.0,15.0,50.0,32.0,Conference Finals,1.0,0.0,7.0,4.0,4.0,28.5,82.0,28.0,54.0,3996.0,101.6,106.9,-5.4,52.2,1.28,14.6,32.7,67.5,49.7,15.5,46.5,50.7,89.56,45.8
Dave Cowens,GSW,2,6,23,8,15,105,25,80,352,161,191,0.457,,,,,,,12.0,4.0,8.0,2002,GSW,Warriors,GSW2002,2002-2003,7.0,4.0,1.0,12.0,38.0,44.0,Lottery,0.0,0.0,10.0,1.0,1.0,24.7,82.0,37.0,45.0,4006.0,103.8,104.5,-0.8,65.0,1.47,17.9,33.8,68.7,51.8,17.1,47.7,53.3,90.66,51.8
Brian Winters,GSW,1,3,59,13,46,59,13,46,184,36,148,0.196,,,,,,,,,,2002,GSW,Warriors,GSW2002,2002-2003,7.0,4.0,1.0,12.0,38.0,44.0,Lottery,0.0,0.0,10.0,1.0,1.0,24.7,82.0,37.0,45.0,4006.0,103.8,104.5,-0.8,65.0,1.47,17.9,33.8,68.7,51.8,17.1,47.7,53.3,90.66,51.8
Rudy Tomjanovich,HOU,11,11,82,28,54,818,460,358,818,460,358,0.562,,,,90.0,51.0,39.0,90.0,51.0,39.0,2002,HOU,Rockets,HOU2002,2002-2003,8.0,3.0,3.0,14.0,43.0,39.0,Lottery,2.0,0.0,9.0,4.0,1.0,25.0,82.0,37.0,45.0,3946.0,102.9,104.5,-1.6,58.4,1.61,16.6,32.8,68.5,50.4,14.4,46.4,50.8,89.93,48.6
