coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year
Gregg Popovich,SAS,7,7,82,60,22,524,339,185,524,339,185,.647,24,16,8,77,47,30,77,47,30,2003
Nate McMillan,SEA,3,3,82,40,42,231,123,108,231,123,108,.532,,,,5,2,3,5,2,3,2003
Lenny Wilkens,TOR,3,30,82,24,58,246,113,133,2406,1292,1114,.537,,,,17,8,9,174,80,94,2003
Jerry Sloan,UTA,15,18,82,47,35,1181,781,400,1396,875,521,.627,5,1,4,152,76,76,158,78,80,2003
Doug Collins,WAS,2,8,82,37,45,164,74,90,619,332,287,.536,,,,,,,38,15,23,2003
Terry Stotts,ATL,2,2,82,28,54,137,52,85,137,52,85,.380,,,,,,,,,,2004
Jim O'Brien,BOS,4,4,46,22,24,258,139,119,258,139,119,.539,,,,26,13,13,26,13,13,2004
John Carroll,BOS,1,1,36,14,22,36,14,22,36,14,22,.389,4,0,4,4,0,4,4,0,4,2004
Bill Cartwright,CHI,3,3,14,4,10,151,51,100,151,51,100,.338,,,,,,,,,,2004
Pete Myers,CHI,1,1,2,0,2,2,0,2,2,0,2,.000,,,,,,,,,,2004
Scott Skiles,CHI,1,4,66,19,47,66,19,47,261,135,126,.517,,,,,,,13,5,8,2004
Paul Silas,CLE,1,9,82,35,47,82,35,47,691,321,370,.465,,,,,,,29,13,16,2004
Don Nelson,DAL,7,26,82,52,30,526,297,229,2006,1148,858,.572,5,1,4,43,19,24,155,70,85,2004
Jeff Bzdelik,DEN,2,2,82,43,39,164,60,104,164,60,104,.366,5,1,4,5,1,4,5,1,4,2004
Larry Brown,DET,1,25,82,54,28,82,54,28,1982,1162,820,.586,23,16,7,23,16,7,206,105,101,2004
Eric Musselman,GSW,2,2,82,37,45,164,75,89,164,75,89,.457,,,,,,,,,,2004
Jeff Van Gundy,HOU,1,8,82,45,37,82,45,37,502,293,209,.584,5,1,4,5,1,4,74,38,36,2004
Rick Carlisle,IND,1,3,82,61,21,82,61,21,246,161,85,.654,16,10,6,16,10,6,43,22,21,2004
Mike Dunleavy,LAC,1,11,82,28,54,82,28,54,870,426,444,.490,,,,,,,59,31,28,2004
