TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,LOCATION
Minnesota Timberwolves,1999-00,41.0,24.0,17.0,0.585,48.5,97.9,38.8,83.7,46.4,2.9,8.3,34.8,17.4,22.2,78.4,12.2,29.6,41.9,25.2,14.1,8.0,5.0,4.1,24.2,2.5,0.4,Road
Philadelphia 76ers,1999-00,41.0,20.0,21.0,0.488,48.2,92.2,35.6,82.0,43.4,2.3,7.4,31.1,18.7,26.7,69.9,13.8,29.0,42.8,21.2,15.6,9.1,4.8,7.8,24.0,2.7,-2.3,Road
Portland Trail Blazers,2013-14,41.0,23.0,18.0,0.561,48.5,105.8,38.3,87.0,44.1,9.7,25.6,37.7,19.5,24.2,80.7,12.4,33.5,45.9,22.6,13.2,5.5,4.9,4.3,20.5,20.1,1.7,Road
Atlanta Hawks,2013-14,41.0,14.0,27.0,0.341,48.4,101.1,37.8,81.9,46.2,9.6,26.3,36.6,16.0,20.5,77.7,8.8,30.4,39.2,24.3,15.7,8.6,4.0,4.6,19.9,19.5,-2.7,Road
Golden State Warriors,2013-14,41.0,24.0,17.0,0.585,48.5,103.8,39.0,85.1,45.8,9.6,25.3,38.1,16.1,22.2,72.5,10.7,33.6,44.2,22.4,15.5,7.9,5.2,4.6,22.2,19.5,2.1,Road
Los Angeles Lakers,2013-14,41.0,13.0,28.0,0.317,48.1,102.0,37.7,85.5,44.1,9.4,24.4,38.7,17.2,22.8,75.4,9.9,31.2,41.1,23.0,15.2,7.4,5.2,5.5,20.0,19.5,-8.5,Road
Houston Rockets,2013-14,41.0,21.0,20.0,0.512,48.2,106.1,38.0,81.4,46.6,9.2,26.0,35.6,21.0,29.3,71.6,11.0,33.1,44.1,21.3,16.0,7.4,5.3,5.8,21.2,23.3,0.1,Road
Phoenix Suns,2013-14,41.0,22.0,19.0,0.537,48.2,102.3,37.6,83.6,45.0,9.1,25.4,36.0,17.9,23.5,76.3,11.0,31.9,42.9,19.4,15.3,8.1,4.3,4.5,22.0,21.0,-0.1,Road
New York Knicks,2013-14,41.0,18.0,23.0,0.439,48.5,97.2,36.7,82.6,44.4,9.1,24.7,36.8,14.8,19.4,76.4,10.2,29.9,40.1,20.7,11.9,7.2,4.4,3.7,22.2,19.3,-2.4,Road
Dallas Mavericks,2013-14,41.0,23.0,18.0,0.561,48.1,102.2,39.4,84.2,46.8,8.8,23.0,38.5,14.6,18.5,78.9,10.1,30.0,40.2,23.9,13.8,8.4,4.5,3.8,19.9,18.5,1.0,Road
Washington Wizards,2013-14,41.0,22.0,19.0,0.537,49.0,101.0,38.9,85.5,45.4,8.7,21.9,39.7,14.6,20.6,70.8,11.4,31.6,43.0,23.2,14.8,7.9,4.5,3.7,21.1,19.2,0.5,Road
